eg_property_id,acquisition_date,pet,check_in,check_out,amenities_pool,amenities_wifi,amenities_breakfast,amenities_parking,amenities_gym,children_extra_bed,know_before_you_go
9a0043fd4258a1286db1e253ca591662b3aac849da12d0d4f67e08b8f59be65f,2023-02-10,0.16084827,0.32144144,0.31229392,0.29962993,0.31436488,0.28052467,0.44025216,0.31008905,0.2555207,0.12698607
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-02-14,0.34698704,0.35483977,0.23859042,0.2616649,0.22281688,0.30890697,0.32854626,0.31179565,0.3914102,0.2513772
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-02-08,0.27064928,0.3767046,0.31074852,0.44917816,0.24248862,0.28110933,0.35958266,0.36930978,0.35425413,0.27812597
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2023-02-09,0.239214,0.3339803,0.303459,0.30698934,0.31158847,0.31534746,0.38990927,0.44070944,0.35303217,0.2672043
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-02-13,0.33966106,0.4938437,0.44091776,0.35560685,0.2533713,0.3122874,0.32600015,0.2514521,0.35641018,0.38793463
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-02-13,0.29183167,0.39762527,0.28602087,0.43721738,0.28091672,0.29490766,0.37714055,0.3026725,0.35708797,0.2691381
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-02-13,0.32429639,0.36704177,0.36286947,0.31991214,0.20992352,0.3645585,0.33030528,0.32261866,0.34815484,0.39095408
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-02-26,0.25313586,0.41027656,0.27680776,0.31730664,0.2497831,0.30453575,0.26023242,0.32740408,0.34389344,0.43177712
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-01,0.27469417,0.39325804,0.38664055,0.34402165,0.28724903,0.4605195,0.3690495,0.30548096,0.38594374,0.31343186
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-02-27,0.28822017,0.5035668,0.36091855,0.34967113,0.32922098,0.36704814,0.4278107,0.3170128,0.41323233,0.26235026
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-02-22,0.31254864,0.42341447,0.3456876,0.3332056,0.27942944,0.43118778,0.38243496,0.3343666,0.40488678,0.3702631
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-02-23,0.2772436,0.38231674,0.3085215,0.35615274,0.244011,0.3272107,0.3679916,0.27680665,0.3887594,0.2753541
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-02-18,0.28832096,0.3560347,0.3166344,0.52765995,0.28666028,0.3606017,0.36187539,0.34960026,0.37134618,0.33015633
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-02-23,0.3549377,0.41020113,0.24558535,0.39685577,0.26659155,0.30315056,0.4607324,0.28649902,0.41089547,0.29298553
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2023-02-17,0.29569122,0.31123853,0.27278924,0.21961331,0.2365331,0.35763386,0.3033715,0.27387184,0.35075542,0.30447012
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-02-28,0.16962515,0.19812776,0.13007878,0.29729763,0.16482958,0.28235358,0.20921683,0.24413183,0.37050313,0.14676546
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2023-02-28,0.23293723,0.3462042,0.28412074,0.2704927,0.25357312,0.43950456,0.34316033,0.26774603,0.32276174,0.24300276
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2023-02-28,0.34189272,0.34027854,0.2806081,0.32450613,0.20968561,0.34201878,0.3174197,0.24648938,0.5546507,0.31639817
